Date,hash-rate
2020-01-01,97011480.5921509
2020-01-02,101344004.24026
2020-01-03,99804501.4653562
2020-01-04,103031751.969838
2020-01-05,105793194.824928
2020-01-06,107512955.573617
2020-01-07,105477457.153358
2020-01-08,109390648.922467
2020-01-09,107202820.500244
2020-01-10,108770686.247963
2020-01-11,106810854.063315
2020-01-12,106320896.017153
2020-01-13,105144996.706364
2020-01-14,105928929.580223
2020-01-15,102912016.529613
2020-01-16,104842225.070924
2020-01-17,106142030.575859
2020-01-18,108225768.954653
2020-01-19,106104409.834575
2020-01-20,107047760.005032
2020-01-21,108984910.824875
2020-01-22,110810185.478423
2020-01-23,111334854.917241
2020-01-24,111334854.917241
2020-01-25,110600317.702895
2020-01-26,113958202.111332
2020-01-27,113223664.896987
2020-01-28,110810185.478423
2020-01-29,110086945.938683
2020-01-30,111290378.263666
2020-01-31,111739680.954955
2020-02-01,111605536.949381
2020-02-02,110981010.238848
2020-02-03,111681439.230547
2020-02-04,114400102.61394
2020-02-05,113566280.349134
2020-02-06,113456448.356533
2020-02-07,111149976.511918
2020-02-08,110600816.548914
2020-02-09,109282832.637706
2020-02-10,110381152.563713
2020-02-11,107525520.756095
2020-02-12,109340676.429412
2020-02-13,107554857.490073
2020-02-14,108294601.669742
2020-02-15,107932589.65855
2020-02-16,108343410.571226
2020-02-17,107216583.587491
2020-02-18,111150618.925524
2020-02-19,111398345.740365
2020-02-20,111287941.036956
2020-02-21,109631870.485811
2020-02-22,111729559.850594
2020-02-23,112391988.071053
2020-02-24,112391988.071053
2020-02-25,110625512.816498
2020-02-26,109924843.840068
2020-02-27,109315034.291772
2020-02-28,111571073.161955
2020-02-29,111945558.203998
2020-03-01,110892855.150198
2020-03-02,114681812.949459
2020-03-03,115501740.880738
2020-03-04,116468614.682245
2020-03-05,119877988.671999
2020-03-06,121637665.569936
2020-03-07,121307726.151573
2020-03-08,123287362.661753
2020-03-09,121197746.345452
2020-03-10,121936055.961626
2020-03-11,120625751.538228
2020-03-12,116247579.246781
2020-03-13,116070927.613304
2020-03-14,113717813.264089
2020-03-15,111497389.43702
2020-03-16,108109035.400663
2020-03-17,104972190.003221
2020-03-18,103914239.600053
2020-03-19,101680788.74892
2020-03-20,96508586.7778772
2020-03-21,94627786.0611341
2020-03-22,94157585.8819484
2020-03-23,95097986.2403199
2020-03-24,94275135.9267449
2020-03-25,95333086.3299129
2020-03-26,94392685.9715413
2020-03-27,97885234.2295388
2020-03-28,100386175.755838
2020-03-29,99147879.9767576
2020-03-30,99137723.3700346
2020-03-31,100495620.108571
2020-04-01,100688107.931239
2020-04-02,104989801.555735
2020-04-03,104035696.250287
2020-04-04,101763311.621838
2020-04-05,103936896.918615
2020-04-06,106308080.878736
2020-04-07,104430893.576973
