Date,Kimchi,,,,,
2020-01-01,0,,,,,
2020-01-02,0,,,,,
2020-01-03,-0.91,,,,,
2020-01-04,-0.99,,,,,
2020-01-05,-1.27,,,,,
2020-01-06,-2.14,,,,,
2020-01-07,-1.19,,,,,
2020-01-08,-2.83,,,,,
2020-01-09,-1.2,,,,,
2020-01-10,-2.75,,,,,
2020-01-11,-2.38,,,,,
2020-01-12,-2.7,,,,,
2020-01-13,-1.97,,,,,
2020-01-14,-4.78,,,,,
2020-01-15,-4.73,,,,,
2020-01-16,-3.17,,,,,
2020-01-17,-3.35,,,,,
2020-01-18,-2.41,,,,,
2020-01-19,-1.87,,,,,
2020-01-20,-1.67,,,,,
2020-01-21,-2.38,,,,,
2020-01-22,-1.8,,,,,
2020-01-23,-0.66,,,,,
2020-01-24,-0.55,,,,,
2020-01-25,-0.13,,,,,
2020-01-26,-1.02,,,,,
2020-01-27,-3.32,,,,,
2020-01-28,-4.13,,,,,
2020-01-29,-2.59,,,,,
2020-01-30,-4.6,,,,,
2020-01-31,-3.51,,,,,
2020-02-01,-3.5,,,,,
2020-02-02,-3.41,,,,,
2020-02-03,-2.59,,,,,
2020-02-04,-2.12,,,,,
2020-02-05,-2.82,,,,,
2020-02-06,-2.66,,,,,
2020-02-07,-1.61,,,,,
2020-02-08,-1.74,,,,,
2020-02-09,-2.1,,,,,
2020-02-10,-1.4,,,,,
2020-02-11,-2.39,,,,,
2020-02-12,-2.96,,,,,
2020-02-13,-2.48,,,,,
2020-02-14,-2.97,,,,,
2020-02-15,-1.8,,,,,
2020-02-16,-0.61,,,,,
2020-02-17,-0.6,,,,,
2020-02-18,-2.19,,,,,
2020-02-19,-0.12,,,,,
2020-02-20,-0.25,,,,,
2020-02-21,-1.49,,,,,
2020-02-22,-1.37,,,,,
2020-02-23,-1.99,,,,,
2020-02-24,-1.21,,,,,
2020-02-25,0.08,,,,,
2020-02-26,0.76,,,,,
2020-02-27,-0.08,,,,,
2020-02-28,1.24,,,,,
2020-02-29,1.48,,,,,
2020-03-01,1.2,,,,,
2020-03-02,0.68,,,,,
2020-03-03,1.65,,,,,
2020-03-04,1.21,,,,,
2020-03-05,0.25,,,,,
2020-03-06,0.03,,,,,
2020-03-07,1.23,,,,,
2020-03-08,3.36,,,,,
2020-03-09,2.22,,,,,
2020-03-10,2.12,,,,,
