Date,ls-ratio
2020-01-01,7.16
2020-01-02,5.67
2020-01-03,7.62
2020-01-04,10.02
2020-01-05,10.16
2020-01-06,10.43
2020-01-07,10.45
2020-01-08,10.41
2020-01-09,9.42
2020-01-10,8.48
2020-01-11,8.35
2020-01-12,8.08
2020-01-13,8.24
2020-01-14,4.43
2020-01-15,3.78
2020-01-16,3.57
2020-01-17,4.31
2020-01-18,4.23
2020-01-19,3.94
2020-01-20,4.01
2020-01-21,3.95
2020-01-22,3.88
2020-01-23,3.53
2020-01-24,3.49
2020-01-25,3.48
2020-01-26,3.46
2020-01-27,3.35
2020-01-28,3.49
2020-01-29,4.03
2020-01-30,3.17
2020-01-31,3.16
2020-02-01,3.16
2020-02-02,3.2
2020-02-03,3.05
2020-02-04,3.05
2020-02-05,3.62
2020-02-06,4.03
2020-02-07,4.26
2020-02-08,3.72
2020-02-09,3.71
2020-02-10,4.01
2020-02-11,3.79
2020-02-12,3.34
2020-02-13,3.09
2020-02-14,3.05
2020-02-15,2.95
2020-02-16,2.8
2020-02-17,2.76
2020-02-18,2.73
2020-02-19,2.58
2020-02-20,2.56
2020-02-21,8.06
2020-02-22,10.17
2020-02-23,8.31
2020-02-24,8.61
2020-02-25,8.09
2020-02-26,8
2020-02-27,8.47
2020-02-28,8.34
2020-02-29,7.36
2020-03-01,6.76
2020-03-02,6.69
2020-03-03,6.11
2020-03-04,5.96
2020-03-05,6.32
2020-03-06,5.62
2020-03-07,5.77
2020-03-08,2.48
2020-03-09,2.9
2020-03-10,3.4
2020-03-11,2.9
2020-03-12,0.89
2020-03-13,0.74
2020-03-14,0.55
2020-03-15,0.67
2020-03-16,0.38
2020-03-17,0.77
2020-03-18,0.82
2020-03-19,0.99
2020-03-20,1.22
2020-03-21,1.21
2020-03-22,1.05
2020-03-23,1.56
2020-03-24,1.92
2020-03-25,1.69
2020-03-26,1.78
2020-03-27,1.32
2020-03-28,0.95
2020-03-29,0.68
2020-03-30,0.96
2020-03-31,0.84
2020-04-01,0.81
2020-04-02,1.17
2020-04-03,1.23
2020-04-04,1.26
2020-04-05,1.31
2020-04-06,1.38
2020-04-07,1.34
2020-04-08,1.18
2020-04-09,1.27
2020-04-10,0.79
2020-04-11,0.73
2020-04-12,0.82
2020-04-13,0.83
2020-04-14,0.81
2020-04-15,0.72
2020-04-16,0.91
2020-04-17,0.97
2020-04-18,0.98
2020-04-19,0.93
2020-04-20,0.78
2020-04-21,0.85
2020-04-22,0.86
2020-04-23,0.87
2020-04-24,0.89
2020-04-25,0.84
2020-04-26,0.71
2020-04-27,0.68
2020-04-28,0.85
2020-04-29,1.97
2020-04-30,3.17
2020-05-01,3.01
2020-05-02,3.17
2020-05-03,3.3
2020-05-04,2.85
2020-05-05,2.71
2020-05-06,2.52
2020-05-07,3
2020-05-08,3.64
2020-05-09,3.74
2020-05-10,3.38
2020-05-11,3.66
2020-05-12,3.32
2020-05-13,2.75
2020-05-14,2.37
2020-05-15,2.41
2020-05-16,2.28
2020-05-17,2.63
2020-05-18,2.87
2020-05-19,2.57
2020-05-20,2.49
2020-05-21,2.46
2020-05-22,2.43
2020-05-23,2.42
2020-05-24,2.45
2020-05-25,2.5
2020-05-26,2.45
2020-05-27,2.76
2020-05-28,3.1
2020-05-29,3.52
2020-05-30,3.69
2020-05-31,3.88
2020-06-01,3.26
2020-06-02,4.53
2020-06-03,4.78
2020-06-04,4.82
2020-06-05,4.85
2020-06-06,4.93
2020-06-07,5.02
2020-06-08,4.87
2020-06-09,4.79
2020-06-10,4.63
2020-06-11,3.77
2020-06-12,3.76
2020-06-13,3.67
2020-06-14,3.46
2020-06-15,2.97
2020-06-16,2.91
2020-06-17,3.07
2020-06-18,3.02
2020-06-19,2.93
2020-06-20,3.01
2020-06-21,2.94
2020-06-22,2.91
2020-06-23,3.07
2020-06-24,3.21
2020-06-25,3.52
2020-06-26,2.89
2020-06-27,2.84
2020-06-28,3.1
2020-06-29,3.39
2020-06-30,3.43
2020-07-01,3.53
2020-07-02,3.34
2020-07-03,3.18
2020-07-04,3.25
2020-07-05,3.15
2020-07-06,3.08
2020-07-07,3.02
2020-07-08,2.74
2020-07-09,2.96
2020-07-10,2.9
2020-07-11,2.88
2020-07-12,2.89
2020-07-13,2.8
2020-07-14,2.88
2020-07-15,2.89
2020-07-16,2.83
2020-07-17,2.79
2020-07-18,2.79
2020-07-19,2.91
2020-07-20,3.02
2020-07-21,2.82
2020-07-22,3.05
2020-07-23,3.55
2020-07-24,3.68
2020-07-25,3.75
2020-07-26,3.45
2020-07-27,2.92
2020-07-28,4.19
2020-07-29,5.28
2020-07-30,5.15
2020-07-31,4.61
2020-08-01,3.91
2020-08-02,3.77
2020-08-03,3.28
2020-08-04,3.3
2020-08-05,3.08
2020-08-06,3.03
2020-08-07,2.9
2020-08-08,3.07
2020-08-09,3.02
2020-08-10,2.9
2020-08-11,2.94
2020-08-12,2.84
2020-08-13,2.96
2020-08-14,2.85
2020-08-15,2.71
2020-08-16,2.74
2020-08-17,2.65
2020-08-18,2.39
2020-08-19,2.29
2020-08-20,2.41
2020-08-21,2.3
2020-08-22,2.24
2020-08-23,2.14
2020-08-24,2.12
2020-08-25,1.96
2020-08-26,1.94
2020-08-27,1.93
2020-08-28,1.91
2020-08-29,1.91
2020-08-30,2.06
2020-08-31,2.09
2020-09-01,2.15
2020-09-02,2.12
2020-09-03,2.09
2020-09-04,2.2
2020-09-05,2.31
2020-09-06,2.51
2020-09-07,3.14
2020-09-08,3.35
2020-09-09,3.87
2020-09-10,4.27
2020-09-11,4.52
2020-09-12,4.72
2020-09-13,4.61
2020-09-14,4.66
2020-09-15,4.57
2020-09-16,4.61
2020-09-17,4.69
2020-09-18,4.66
2020-09-19,4.75
2020-09-20,4.73
2020-09-21,3.92
2020-09-22,4.28
2020-09-23,4.39
2020-09-24,4.75
2020-09-25,4.91
2020-09-26,4.98
2020-09-27,4.99
2020-09-28,4.76
2020-09-29,4.7
2020-09-30,4.83
2020-10-01,5.05
2020-10-02,4.87
2020-10-03,4.98
2020-10-04,5.25
2020-10-05,5.41
2020-10-06,5.86
2020-10-07,6.08
2020-10-08,6.1
2020-10-09,6.22
2020-10-10,6.03
2020-10-11,5.78
2020-10-12,5.74
2020-10-13,6.63
2020-10-14,6.56
2020-10-15,7.1
2020-10-16,7.17
2020-10-17,6.98
2020-10-18,6.91
2020-10-19,7.2
2020-10-20,6.89
2020-10-21,4.4
2020-10-22,4.21
2020-10-23,4.32
2020-10-24,4.24
2020-10-25,4.32
2020-10-26,4.23
2020-10-27,4.17
2020-10-28,4.72
2020-10-29,4.31
2020-10-30,4.08
