Date,Momentum,,,,,
2020-01-01,0,,,,,
2020-01-02,0,,,,,
2020-01-03,0,,,,,
2020-01-04,0,,,,,
2020-01-05,0,,,,,
2020-01-06,0,,,,,
2020-01-07,0,,,,,
2020-01-08,0,,,,,
2020-01-09,0,,,,,
2020-01-10,0,,,,,
2020-01-11,0,,,,,
2020-01-12,0,,,,,
2020-01-13,-1.06,,,,,
2020-01-14,-3.79,,,,,
2020-01-15,-3.46,,,,,
2020-01-16,-1.03,,,,,
2020-01-17,-2.16,,,,,
2020-01-18,0.41,,,,,
2020-01-19,-0.67,,,,,
2020-01-20,1.08,,,,,
2020-01-21,0,,,,,
2020-01-22,0.9,,,,,
2020-01-23,1.31,,,,,
2020-01-24,4.23,,,,,
2020-01-25,4.6,,,,,
2020-01-26,2.16,,,,,
2020-01-27,0.03,,,,,
2020-01-28,-1.72,,,,,
2020-01-29,-0.72,,,,,
2020-01-30,-2.93,,,,,
2020-01-31,-1.13,,,,,
2020-02-01,-1.7,,,,,
2020-02-02,-2.76,,,,,
2020-02-03,-2.04,,,,,
2020-02-04,-1.99,,,,,
2020-02-05,-1.8,,,,,
2020-02-06,0.66,,,,,
2020-02-07,2.52,,,,,
2020-02-08,0.86,,,,,
2020-02-09,2.5,,,,,
2020-02-10,2.1,,,,,
2020-02-11,1.11,,,,,
2020-02-12,0.45,,,,,
2020-02-13,0.1,,,,,
2020-02-14,-0.85,,,,,
2020-02-15,1.01,,,,,
2020-02-16,2.05,,,,,
2020-02-17,1.02,,,,,
2020-02-18,-0.45,,,,,
2020-02-19,1.98,,,,,
2020-02-20,1.15,,,,,
2020-02-21,0.89,,,,,
2020-02-22,1.6,,,,,
2020-02-23,0.5,,,,,
2020-02-24,1.76,,,,,
2020-02-25,1.89,,,,,
2020-02-26,1.37,,,,,
2020-02-27,0.51,,,,,
2020-02-28,3.43,,,,,
2020-02-29,1.6,,,,,
2020-03-01,1.45,,,,,
2020-03-02,2.17,,,,,
2020-03-03,3.02,,,,,
2020-03-04,3.19,,,,,
2020-03-05,1.45,,,,,
2020-03-06,-0.05,,,,,
2020-03-07,0.47,,,,,
2020-03-08,3.45,,,,,
2020-03-09,0.98,,,,,
2020-03-10,0.63,,,,,
2020-03-11,-0.51,,,,,
2020-03-12,8.67,,,,,
2020-03-13,5.72,,,,,
